asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1,metal2,metal3,csd_ref,name1,name2,name3,oms,lcd [Å],pld [Å],LFPD [Å]
2054.35,1714.96,0.64,0.77,0.83,3.91,5.11,44.96,Cu,,,OYEJOS,"[""1,4-bis(imidazolyl)benzene""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""1-(4-bromophenyl)imidazole""]",Yes,9.56,4.64,9.56
4728.27,1989.54,0.82,1.95,0.42,7.22,10.55,49.61,Ni,,,JOGSAA,"[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""Oxalate""]",Yes,12.98,9.45,12.87
2623.65,1989.66,0.76,1,0.76,4.63,6.26,50.68,Mn,Cu,,IDORAW,,,"[""Oxalate""]",Yes,10.66,7.95,10.64
2028.8,1850.3,0.68,0.75,0.91,3.88,5.03,48.31,Zn,,,NIXKIQ,"[""2,2'-bipyridine"", ""2,2'-Bipyridyl"", ""Bipyridyl""]","[""1,3,5-tris(4-Carboxyphenyl)benzene"", ""1,3,5-tris(4-carboxylatephenyl)benzene"", ""benzene-1,3,4-tribenzoate"", ""4,4',4''-benzene-1,3,5-tribenzoate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,10.73,9.85,10.73
2246.99,2238.65,0.71,0.72,1,4.16,5.15,54.04,Cd,,,NESVAK,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,11.03,4.29,10.76
2578.3,2332.63,0.69,0.76,0.9,4.58,5.56,53.25,Zn,,,NESVEO,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,10.2,4.32,10.19
2904.54,2140.97,0.73,0.99,0.74,4.99,6.49,51.13,Zn,,,FUTTIZ,"[""2-Hydroxybenzene-1,4-dicarboxylate"", ""2-hydroxyterephthalate""]","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,12.86,4.31,12.86
3259.88,2801.31,0.7,0.81,0.86,5.43,6.38,58.52,Cd,,,OQUCOU,(R)-5-(1-carboxylateethoxy)isophthalate,"[""1,4-bis(imidazolyl)benzene""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,8.1,4.42,8.1
2166.48,1904.31,0.7,0.8,0.88,4.05,5.3,49.16,Zn,,,IBUBIT,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]","[""1,2,4-triazolate"", ""1,2,4-triazole""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,11.26,10.8,11.26
2604.21,1840,0.73,1.04,0.71,4.61,6.36,47.96,Zn,,,OKUJUB,,"[""Tetraethylammonium""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,12.37,9.63,12.13
3276.15,2263.18,0.7,1.01,0.69,5.45,6.87,50.95,Co,,,CAZNOI,"[""4-(3-(4-carboxyphenoxy)-2-((3-(4-carboxyphenoxy)-2,2-bis((4-carboxyphenoxy)methyl)propoxy)methyl)-2-((4-carboxyphenoxy)methyl)propoxy)benzoate"", ""4-(3-(4-carboxylatephenoxy)-2-((3-(4-carboxylatephenoxy)-2,2-bis[(4-carboxylatephenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatephenoxy)methyl]propoxy)benzoate""]","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,9.9,6.53,9.66
3236.55,2247.72,0.7,1,0.69,5.4,6.81,50.73,Co,,,CAZNUO,"[""4-(3-(4-carboxyphenoxy)-2-((3-(4-carboxyphenoxy)-2,2-bis((4-carboxyphenoxy)methyl)propoxy)methyl)-2-((4-carboxyphenoxy)methyl)propoxy)benzoate"", ""4-(3-(4-carboxylatephenoxy)-2-((3-(4-carboxylatephenoxy)-2,2-bis[(4-carboxylatephenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatephenoxy)methyl]propoxy)benzoate""]","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,10.28,7.67,10.28
3023.92,2197.25,0.73,1.01,0.73,5.14,6.65,51.74,Zn,,,QUQWOQ,"[""Biphenyl-3,4',5-tricarboxylate"", ""biphenyl-3,4',5-tricarboxylate""]","[""3,5-diamine-1,2,4-triazolate"", ""1,2,4-triazolate-3,5-diamine"", ""3,5-diamide-1,2,4-triazolate"", ""3,5-diamine-1,2,4-triazol-1-yl""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,10.06,6.5,10.06
2816.44,2438.46,0.69,0.8,0.87,4.88,5.88,54.13,Zn,,,UMEJUT,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]","[""5-aminetetrazolate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,7.77,5,7.73
2658.32,2404.59,0.69,0.76,0.9,4.68,5.63,53.97,Zn,,,UMEKAA,"[""2-aminebenzene-1,4-dicarboxylate"", ""2-amineterephthalate"", ""2-amidebenzene-1,4-dicarboxylate"", ""2,5-dicarboxylateanilinium"", ""2amidebenzene-1,4-dicarboxylate"", ""2aminebenzene-1,4-dicarboxylate"", ""2-aminobenzene-1,4-dicarboxylate"", ""2-amine-1,4-benzenedicarboxylate"", ""3-amine-4-carboxybenzoate""]","[""5-aminetetrazolate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,7.48,5.74,7.45
3481.13,2616.23,0.73,0.98,0.75,5.7,6.97,56.29,Zn,,,UMEKEE,"[""Naphthalene-2,6-dicarboxylate"", ""2,6-Naphtalenedicarboxylate"", ""2,6-Naphthalenedicarboxylate""]","[""5-aminetetrazolate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,8.31,6.1,8.27
2927.8,2189.36,0.74,0.99,0.75,5.02,6.51,52.05,Cu,,,YAVWUQ,"[""formate""]","5,5'-(4H-1,2,4-triazole-3,5-diyl)bis(benzene-1,3-dicarboxylate)","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,15.49,6.62,15.48
2510.98,2169.58,0.69,0.8,0.86,4.49,5.61,51.35,Zn,,,PUGSOB,"[""Biphenyl-3,4',5-tricarboxylate"", ""biphenyl-3,4',5-tricarboxylate""]","[""naphthalene-1,4-dicarboxylate"", ""Naphthalene-1,4-dicarboxylate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,9.51,8.87,9.51
2685.1,2148.08,,0.9,0.8,4.71,6.04,51.46,Zn,,,YEKXIX,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]","[""Biphenyl-3,4',5-tricarboxylate"", ""biphenyl-3,4',5-tricarboxylate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,,,
2870.4,2358.23,0.71,0.86,0.82,4.94,6.1,53.36,Zn,,,PUGSUH,"[""Naphthalene-2,6-dicarboxylate"", ""2,6-Naphtalenedicarboxylate"", ""2,6-Naphthalenedicarboxylate""]","[""Biphenyl-3,4',5-tricarboxylate"", ""biphenyl-3,4',5-tricarboxylate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",Yes,9.31,8.71,9.31
3486.86,1788.29,0.81,1.57,0.51,5.71,8.54,47.91,Fe,,,ICITEU,"[""4,4'-Ethane-1,2-diyldipyridine"", ""1,2-bis(Pyrid-4-yl)ethane"", ""1,2-bis(pyridin-4-yl)ethane"", ""4,4'-(ethane-1,2-diyl)dipyridine"", ""1,2-bis(4-pyridyl)ethane""]","[""1,1'-Biphenyl-4,4'-dicarboxylate"", ""4,4'-biphenyl-1,1'-dicarboxylate"", ""biphenyl-4,4'-dicarboxylate"", ""[1,1'-biphenyl]-4,4'-dicarboxylate"", ""4,4'-biphenyldicarboxylate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,19.8,10.48,19.8
3810.89,2275.99,0.73,1.22,0.6,6.11,7.9,51.22,Cu,,,ABETIN,"[""4,4',4'',4'''-benzene-1,2,4,5-tetrayltetrapyridine"", ""1,2,4,5-tetrakis(4-pyridyl)benzene""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",No,9.47,7.84,9.45
4870.46,2179.79,0.8,1.78,0.45,7.39,10.24,51.04,Co,,,PUZMAZ,"[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]","[""isothiocyanate""]","[""diphenylamine""]",No,16.42,9.24,16.41
5084.98,3093.18,0.73,1.2,0.61,7.64,8.97,59.96,Zn,,,HOJLID,"N-(3,5-dimethyl-4-(pyridin-4-yl)benzyl)-3,5-dimethyl-4-(pyridin-4-yl)aniline","[""1,1'-Biphenyl-4,4'-dicarboxylate"", ""4,4'-biphenyl-1,1'-dicarboxylate"", ""biphenyl-4,4'-dicarboxylate"", ""[1,1'-biphenyl]-4,4'-dicarboxylate"", ""4,4'-biphenyldicarboxylate""]","1,4,7,10,13,16-hexaoxacyclotetracosane",No,8.35,5.14,8.16
3437.37,2685.51,0.7,0.9,0.78,5.65,6.71,56.22,Cu,,,XUDQAQ,"4,4',4'',4'''-(1,3-phenylenedinitrilo)tetrabenzoate","[""1,4-bis(1H-imidazol-1-yl)benzene"", ""1,1'-(1,4-phenylene)bis(1H-imidazole)""]","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",No,7.54,5.52,7.53
3863.91,2741.89,0.72,1.01,0.71,6.17,7.38,56.57,Cu,,,XUDQEU,"4,4',4'',4'''-(1,3-phenylenedinitrilo)tetrabenzoate","[""1,4-bis(1H-imidazol-1-yl)benzene"", ""1,1'-(1,4-phenylene)bis(1H-imidazole)""]","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",No,7.53,5.67,7.53
2208.91,2019.19,0.64,0.7,0.91,4.11,5.05,48.66,Ni,,,MIXYID,"[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",No,6.97,5.01,6.97
3241.55,2580.31,0.7,0.88,0.8,5.41,6.48,55.2,Cu,Ni,,VAMZAN,"3,3'-(ethane-1,2-diylbis(iminomethyl))bis(5-methylpyridin-4-olate)","4,4',4'',4'''-(1,3-phenylenedinitrilo)tetrabenzoate","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",Yes,7,5.41,6.99
3228.34,2577.99,0.7,0.88,0.8,5.39,6.47,55.27,Cu,,,VAMZER,"3,3'-(ethane-1,2-diylbis(iminomethyl))bis(5-methylpyridin-4-olate)","4,4',4'',4'''-(1,3-phenylenedinitrilo)tetrabenzoate","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",No,7,5.42,7
2616.5,2224.03,,0.84,0.85,4.62,5.82,52.49,Co,,,WEBKIZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,"[""di-n-butylammonium""]",No,,,
2471.76,1619.49,0.73,1.11,0.66,4.44,6.43,45.03,Zn,,,OTALUS,4-(pyridin-4-yl)pyridin-1-oxide,"[""2,6-diisopropylphenyl_phosphate""]","[""tetrabutylammonium"", ""Tetra-n-butylammonium""]",Yes,12.68,9.31,12.68
2229.73,1803.58,0.8,0.99,0.81,4.13,5.88,50.57,Zn,Mo,,OHUMEL,"[""4,4',4''-Benzene-1,3,5-triyltris(benzoate)"", ""4,4',4''-(benzene-1,3,5-triyl)tribenzoateo"", ""4,4',4''-benzene-1,3,5-triylbenzoate"", ""4,4',4''-Benzene-1,3,5-triyltribenzoate"", ""benzene-1,3,5-tris(4-benzoate)"", ""4,4',4''-(1,3,5-triphenylene)-tribenzoate"", ""1,3,5-tris(4-Carbxoylatephenyl)benzene"", ""4,4',4''-(Benzene-1,3,5-triyl)tribenzoate"", ""Benzene-1,3,5-tris(phenyl-4-carboxylate)"", ""(Benzene-1,3,5-triyl)-4,4',4''-tribenzoate"", ""Benzene-1,3,5-tris(4-benzoate)""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetrabutylammonium"", ""Tetra-n-butylammonium""]",Yes,14.1,12.87,14.1
2419.32,2241.48,0.68,0.73,0.93,4.37,5.33,52.17,Co,,,FEWWEL,"[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",,"[""1,1,2,2-tetrachloroethane""]",No,8.21,5.7,8.2
